_id,Acousticness,Danceability,Energy,Instrumentalness,MusicalKey,Liveness,Speechiness,Valence,Tag_id
136,0.596,0.104,0.244,0.932,9.0,0.11,0.0504,0.0328,2
137,0.798,0.347,0.0824,0.907,10.0,0.108,0.0441,0.0625,2
138,0.934,0.285,0.0134,0.888,8.0,0.0771,0.0353,0.0518,2
139,0.899,0.187,0.0906,0.961,0.0,0.11,0.0384,0.0715,2
140,0.681,0.0994,0.113,0.935,7.0,0.108,0.0427,0.0374,2
141,0.574,0.17,0.268,0.861,0.0,0.134,0.0345,0.0398,2
142,0.778,0.0967,0.148,0.755,11.0,0.0902,0.0465,0.0462,2
143,0.811,0.175,0.0845,0.855,7.0,0.131,0.0456,0.0361,2
144,0.945,0.0787,0.0286,0.952,0.0,0.112,0.0469,0.117,2
145,0.979,0.19,0.0199,0.92,2.0,0.0873,0.044,0.0343,2
146,0.928,0.259,0.165,0.837,6.0,0.144,0.0478,0.0381,2
147,0.967,0.188,0.0259,0.957,11.0,0.103,0.0369,0.0625,2
148,0.951,0.249,0.114,0.944,1.0,0.0862,0.0458,0.0389,2
149,0.936,0.148,0.0113,0.7,1.0,0.133,0.041,0.0376,2
150,0.845,0.168,0.102,0.845,2.0,0.112,0.0392,0.0337,2
151,0.529,0.15,0.295,0.882,1.0,0.125,0.045,0.0733,2
152,0.903,0.423,0.144,0.951,9.0,0.0799,0.0349,0.101,2
153,0.935,0.313,0.0973,0.757,2.0,0.0996,0.0374,0.0386,2
154,0.993,0.313,0.00729,0.796,9.0,0.106,0.0388,0.0799,2
155,0.894,0.131,0.149,0.895,0.0,0.0702,0.0351,0.0384,2
156,0.824,0.389,0.263,0.879,4.0,0.0908,0.029,0.0354,2
157,0.315,0.302,0.194,0.819,7.0,0.164,0.0318,0.0642,2
158,0.984,0.251,0.245,0.916,3.0,0.105,0.0422,0.0382,2
159,0.923,0.213,0.0153,0.922,8.0,0.111,0.0386,0.0823,2
160,0.975,0.36,0.0178,0.867,0.0,0.115,0.0389,0.0455,2
161,0.995,0.534,0.00604,0.907,0.0,0.106,0.115,0.128,2
162,0.993,0.353,0.0911,0.903,4.0,0.0685,0.0471,0.0689,2
163,0.812,0.139,0.195,0.965,5.0,0.113,0.0399,0.147,2
164,0.982,0.289,0.0386,0.875,0.0,0.0802,0.037,0.0395,2
165,0.989,0.193,0.0907,0.903,0.0,0.153,0.0424,0.0398,2
166,0.376,0.574,0.333,0.86,9.0,0.128,0.0315,0.233,2
167,0.896,0.124,0.134,0.9,2.0,0.0943,0.0357,0.0354,2
168,0.754,0.135,0.0259,0.811,11.0,0.135,0.0393,0.235,2
169,0.949,0.211,0.053,0.915,7.0,0.111,0.038,0.0363,2
170,0.937,0.319,0.122,0.905,4.0,0.167,0.0373,0.214,2
171,0.911,0.121,0.194,0.854,9.0,0.11,0.0356,0.257,2
172,0.885,0.0725,0.132,0.926,9.0,0.109,0.0524,0.0356,2
173,0.745,0.0962,0.0904,0.731,1.0,0.0921,0.0418,0.0326,2
174,0.92,0.219,0.134,0.971,7.0,0.109,0.0387,0.0395,2
175,0.921,0.154,0.046,0.754,9.0,0.107,0.0478,0.0342,2
176,0.926,0.162,0.174,0.947,1.0,0.0979,0.0385,0.0341,2
177,0.915,0.492,0.237,0.883,7.0,0.125,0.0331,0.0519,2
178,0.826,0.176,0.117,0.885,7.0,0.124,0.0401,0.142,2
179,0.915,0.208,0.0823,0.905,6.0,0.107,0.035,0.115,2
180,0.889,0.516,0.137,0.885,0.0,0.14,0.0375,0.213,2
181,0.897,0.0645,0.216,0.945,0.0,0.0674,0.0386,0.0359,2
182,0.983,0.18,0.106,0.941,2.0,0.112,0.0351,0.0686,2
183,0.865,0.255,0.153,0.132,0.0,0.109,0.034,0.189,2
